1403637135.038320 4.66344 -1.77439 0.63926 0.53724 -0.24859 -0.79320 -0.14284 0.24875 -0.16549 -0.68277 -0.00080 0.02365 0.07500 -0.00144 -0.00002 0.00035
1403637135.138319 4.66104 -1.76510 0.59534 0.52967 -0.25005 -0.79871 -0.13782 0.07916 -0.03973 -0.31557 -0.00114 0.02299 0.07552 -0.00195 -0.00000 0.00053
1403637135.238319 4.65852 -1.76039 0.58766 0.51944 -0.24904 -0.80579 -0.13734 0.02337 0.00394 0.06279 -0.00142 0.02233 0.07602 -0.00412 0.00004 0.00129
1403637135.338320 4.65803 -1.75938 0.61921 0.51139 -0.25045 -0.81029 -0.13850 -0.01494 0.02188 0.48602 -0.00150 0.02192 0.07641 -0.01143 0.00021 0.00382
1403637135.438319 4.65523 -1.75629 0.68678 0.52097 -0.24756 -0.80345 -0.14754 -0.03173 0.03546 0.75858 -0.00172 0.02163 0.07662 -0.01971 0.00040 0.00669
1403637135.538320 4.65244 -1.75272 0.77421 0.53836 -0.24129 -0.79112 -0.16148 -0.03570 0.02949 0.86882 -0.00193 0.02154 0.07671 -0.02748 0.00057 0.00938
1403637135.638319 4.64856 -1.74998 0.86384 0.55294 -0.23895 -0.77875 -0.17523 -0.04283 0.02361 0.84083 -0.00213 0.02181 0.07675 -0.03097 0.00066 0.01058
1403637135.738319 4.64514 -1.74896 0.94144 0.56811 -0.24017 -0.76620 -0.18029 -0.03633 0.00360 0.66169 -0.00210 0.02194 0.07684 -0.03161 0.00068 0.01079
1403637135.838320 4.64126 -1.74638 1.01476 0.58100 -0.23593 -0.75943 -0.17330 -0.02460 0.02338 0.32878 -0.00196 0.02208 0.07696 -0.03413 0.00075 0.01184
1403637135.938319 4.63862 -1.74474 1.02868 0.58573 -0.23154 -0.75865 -0.16660 -0.03801 0.02750 -0.08225 -0.00193 0.02206 0.07682 -0.03685 0.00082 0.01301
1403637136.038320 4.63554 -1.74164 1.01813 0.58236 -0.23118 -0.76181 -0.16448 -0.03708 0.00644 -0.47460 -0.00181 0.02190 0.07688 -0.03912 0.00087 0.01387
1403637136.138319 4.63133 -1.73951 0.95656 0.57324 -0.23161 -0.76870 -0.16387 -0.04031 0.02183 -0.75389 -0.00178 0.02185 0.07694 -0.04181 0.00093 0.01487
1403637136.238319 4.62807 -1.73821 0.87567 0.55822 -0.23323 -0.77949 -0.16244 -0.01479 -0.00547 -0.84852 -0.00187 0.02196 0.07707 -0.04443 0.00099 0.01584
1403637136.338320 4.62853 -1.73975 0.79275 0.53799 -0.23712 -0.79361 -0.15661 0.02954 -0.02767 -0.79282 -0.00213 0.02193 0.07699 -0.04589 0.00102 0.01637
1403637136.438319 4.63277 -1.74352 0.72044 0.51917 -0.24182 -0.80675 -0.14542 0.05675 -0.04640 -0.63342 -0.00235 0.02201 0.07684 -0.04666 0.00104 0.01663
1403637136.538320 4.63881 -1.74716 0.67406 0.50742 -0.24750 -0.81474 -0.13216 0.05715 -0.03731 -0.29102 -0.00248 0.02209 0.07674 -0.04663 0.00104 0.01661
1403637136.638319 4.64577 -1.74969 0.66341 0.50222 -0.24833 -0.81824 -0.12883 0.04050 -0.00436 0.10712 -0.00250 0.02211 0.07662 -0.04741 0.00105 0.01690
1403637136.738319 4.64474 -1.75033 0.69754 0.50054 -0.24638 -0.81964 -0.13015 0.00749 -0.00359 0.55503 -0.00245 0.02207 0.07665 -0.04804 0.00107 0.01713
1403637136.838320 4.64440 -1.74873 0.80073 0.50975 -0.23860 -0.81631 -0.12987 0.00389 0.01299 0.88334 -0.00240 0.02228 0.07696 -0.05342 0.00113 0.01896
1403637136.938319 4.64360 -1.74541 0.89687 0.52811 -0.23192 -0.80530 -0.13714 -0.00354 0.04624 1.00534 -0.00246 0.02201 0.07681 -0.05647 0.00115 0.01990
